['Dr. Reshma Phulwar', '11', 'Dentist', '300', '96% ', 'Chembur', 'Mumbai']
['Dr. Arun Kumar', '15', 'Homoeopath', '500', '97% ', 'Dadar West', 'Mumbai']
['Dr. Prajakta Rajurkar', '13', 'Ayurveda', '300', '100% ', 'Andheri West', 'Mumbai']
['Dr. Sheeba Raveendran', '16', 'Dentist', '400', '69% ', 'Borivali West', 'Delhi']
['Dr. Amol Gaikwad', '12', 'Dermatologist', '300', '97% ', 'Mira Road', 'Delhi']
['Dr. Nitin Goradia', '13', 'Homoeopath', '500', '97% ', 'Grant Road', 'Delhi']
['Dr. Rajshree Chavan', '13', 'Ayurveda', '1000', '98% ', 'Dadar East', 'Delhi']
['Dr. Pooja Gawand', '13', 'Dentist', '200', '100% ', 'Mulund West', 'Delhi']
['Dr. Kirti Aherwal', '24', 'Dermatologist', '500', '97% ', 'Mira Bhayandar', 'Delhi']
['Dr. Vishakha Darade', '17', 'Homoeopath', '500', '99% ', 'Bhandup West', 'Delhi']
['Dr. Maya Nair', '18', 'Ayurveda', '500', '96% ', 'Mulund West', 'Delhi']
['Dr. Nikhil Surana', '23', 'Dentist', '1500', '98% ', 'Kandivali East', 'Delhi']
['Dr. Amar Ravjiani', '10', 'Dermatologist', '1000', '100% ', 'Ghatkopar East', 'Delhi']
['Dr. Kinnari', '11', 'Homoeopath', '800', '100% ', 'Borivali West', 'Delhi']
['Dr. Radhika Parekh Paleja', '37', 'Ayurveda', '1000', '100% ', 'Bandra West', 'Delhi']
['Dr. Suhani Talesara', '11', 'Dentist', '1000', '98% ', 'Jogeshwari', 'Delhi']
['Dr. Pallavi Kendrekar', '12', 'Dermatologist', '1000', '93% ', 'Borivali West', 'Delhi']
['Dr. Sonia Tekchandani', '13', 'Homoeopath', '1000', '96% ', 'Malad West', 'Delhi']
['Dr. Jolly Shah Kapadia', '41', 'Ayurveda', '1200', '99% ', 'Mulund West', 'Delhi']
['Dr. Prachi Saraogi', '24', 'Dentist', '800', '95% ', 'Malad East', 'Delhi']
['Dr. Sejal Saheta', '53', 'Dermatologist', '700', '90% ', 'Powai', 'Delhi']
['Dr. Pallavi Rathi', '21', 'Homoeopath', '700', '77% ', 'Andheri East', 'Delhi']
['Dr. Rajeev Dhir', '24', 'Ayurveda', '450', '99% ', 'Powai', 'Delhi']
['Dr. Jeetendra Khatuja', '15', 'Dentist', '450', '100% ', 'Andheri West', 'Delhi']
['Dr. Yogesh Kalyanpad', '19', 'Dermatologist', '450', '95% ', 'Santacruz West', 'Delhi']
['Dr. Sarika Holmukhe', '24', 'Homoeopath', '450', '93% ', 'Andheri West', 'Delhi']
['Dr. Prajct Sao', '23', 'Ayurveda', '700', '96% ', 'Lower Parel', 'Delhi']
['Dr. Brijesh Kumar Yadav', '24', 'Dentist', '450', '75% ', 'Mira Road', 'Delhi']
['Dr. Pranita Patil', '18', 'Dermatologist', '450', '99% ', 'Khar West', 'Delhi']
['Dr. Hitesh Shah', '33', 'Homoeopath', '1200', '98% ', 'Kandivali West', 'Delhi']
['Dr. Adhye', '11', 'Ayurveda', '300', '98% ', 'Chembur', 'Delhi']
['Dr. Kukreja A. Kalani', '25', 'Dentist', '700', '96% ', 'Powai', 'Delhi']
['Dr. Amit Vora', '15', 'Dermatologist', '500', '95% ', 'Bhandup West', 'Delhi']
['Dr. Jagat Shah', '13', 'Homoeopath', '300', '100% ', 'Borivali West', 'Delhi']
['Dr. Pratik Prakash More', '16', 'Ayurveda', '400', '98% ', 'Andheri West', 'Delhi']
['Dr. Rajesh D Rambhia', '12', 'Dentist', '300', '100% ', 'Mulund West', 'Delhi']
['Dr. Yash Girish Shete', '13', 'Dermatologist', '500', '98% ', 'Malad West', 'Delhi']
['Dr. Darshan Desai', '13', 'Homoeopath', '1000', '100% ', 'Borivali West', 'Delhi']
['Dr. Rajeshree Mehta', '13', 'Ayurveda', '200', '96% ', 'Malad West', 'Delhi']
['Dr. Varsha Gupta', '24', 'Dentist', '500', '98% ', 'Ghatkopar West', 'Bangalore ']
['Dr. Sanjay Erande', '17', 'Dermatologist', '500', '100% ', 'Dadar West', 'Bangalore ']
['Dr. Deepali Shastri', '18', 'Homoeopath', '500', '100% ', 'Malad West', 'Bangalore ']
['Dr. Ketki Trivedi', '23', 'Ayurveda', '1500', '94% ', 'Vileparle West', 'Bangalore ']
['Dr. Dipak D Goradia', '10', 'Dentist', '1000', '100% ', 'Grant Road', 'Bangalore ']
['Dr. Hiral Bhatt', '11', 'Dermatologist', '800', '95% ', 'Andheri East', 'Bangalore ']
['Dr. Yusuf Kotawala', '37', 'Homoeopath', '1000', '100% ', 'Malad East', 'Bangalore ']
['Dr. Neelam Patil', '11', 'Ayurveda', '1000', '100% ', 'Borivali West', 'Bangalore ']
['Dr. Gautam Kikeri', '12', 'Dentist', '1000', '99% ', 'Powai', 'Bangalore ']
['Dr. Fauzia Khimani Naaz', '13', 'Dermatologist', '1000', '95% ', 'Jacob Circle', 'Bangalore ']
['Dr. Tabrez Lakha', '41', 'Homoeopath', '1200', '100% ', 'Khar West', 'Bangalore ']
['Dr. Soham Mallick', '24', 'Ayurveda', '800', '100% ', 'Powai', 'Bangalore ']
['Dr. Ameera Lakha', '53', 'Dentist', '700', '100% ', 'Khar West', 'Bangalore ']
['Dr. Kavin J. Shah', '21', 'Dermatologist', '700', '100% ', 'JB Nagar', 'Bangalore ']
['Dr. Vaishali Prasad', '24', 'Homoeopath', '450', '99% ', 'Powai', 'Bangalore ']
['Dr. Priyanka Jairaj Dalvi', '15', 'Ayurveda', '450', '100% ', 'Vileparle West', 'Bangalore ']
['Dr. Ashitesh Kumar', '19', 'Dentist', '450', '99% ', 'Chembur East', 'Bangalore ']
['Dr. Mukul Dabholkar', '24', 'Dermatologist', '450', '97% ', 'Bandra West', 'Bangalore ']
['Dr. Jeetendra Khatuja', '23', 'Homoeopath', '700', '98% ', 'Andheri West', 'Bangalore ']
['Dr. Maxim Dmello', '24', 'Ayurveda', '450', '100% ', 'Borivali West', 'Bangalore ']
['Dr. Apeksha Chaudhari', '18', 'Dentist', '450', '94% ', 'Marol', 'Bangalore ']
['Dr. Shubhangi Mahajan', '33', 'Dermatologist', '1200', '99% ', 'Parel', 'Bangalore ']
['Dr. Vikas Halwai', '14', 'Homoeopath', '800', '79% ', 'Chinchpokli', 'Bangalore ']
['Dr. Mithali Jage', '21', 'Ayurveda', '800', '100% ', 'Chembur', 'Bangalore ']
['Dr. Ravindra Dargainya', '40', 'Dentist', '1000', '95% ', 'Malad West', 'Bangalore ']
['Dr. Yogesh Kalyanpad', '26', 'Dermatologist', '2000', '93% ', 'Santacruz West', 'Bangalore ']
['Dr. Priyanka Ghuge Avhad', '34', 'Homoeopath', '700', '83% ', 'Sion', 'Bangalore ']
['Dr. Manisha Kshirsagar', '16', 'Ayurveda', '299', '100% ', 'Vikhroli East', 'Bangalore ']
['Dr. Ritu R Singh', '34', 'Dentist', '400', '100% ', 'Mira Road', 'Bangalore ']
['Dr. Sultanali Shaikh', '16', 'Dermatologist', '299', '100% ', 'Girgaon', 'Bangalore ']
['Dr. Kinjal Shah', '30', 'Homoeopath', '1500', '100% ', 'Kandivali West', 'Bangalore ']
['Dr. Amol Rane', '13', 'Ayurveda', '600', '100% ', 'Bhandup West', 'Bangalore ']
['Dr. Shraddha Karotia', '11', 'Dentist', '300', '99% ', 'Borivali West', 'Bangalore ']
['Dr. Archana Pathare', '25', 'Dermatologist', '700', '100% ', 'Dahisar', 'Bangalore ']
['Dr. Parul R Parikh', '15', 'Homoeopath', '500', '75% ', 'Kandivali', 'Bangalore ']
['Dr. Nirali Shah', '13', 'Ayurveda', '300', '100% ', 'Mulund West', 'Bangalore ']
['Dr. Pramod Patil', '16', 'Dentist', '400', '96% ', 'Borivali East', 'Hyderabad']
['Dr. Swati Upendra Limaye', '12', 'Dermatologist', '300', '100% ', 'Goregaon East', 'Hyderabad']
['Dr. Mayuri Surve', '13', 'Homoeopath', '500', '100% ', 'Ghatkopar East', 'Hyderabad']
['Dr. Sayali Nilesh Rangnekar', '13', 'Ayurveda', '1000', '95% ', 'Kandivali East', 'Hyderabad']
['Dr. Archana singh', '13', 'Dentist', '200', '98% ', 'Dadar', 'Hyderabad']
['Dr. Nitin R Kochar', '24', 'Dermatologist', '500', '100% ', 'Goregaon West', 'Hyderabad']
['Dr. Amit Aroskar', '17', 'Homoeopath', '500', '100% ', 'Borivali West', 'Hyderabad']
['Dr. Neelam Patil', '18', 'Ayurveda', '500', '100% ', 'Borivali West', 'Hyderabad']
['Dr. Yusuf Kotawala', '23', 'Dentist', '1500', '99% ', 'Malad East', 'Hyderabad']
['Dr. Sanjay Erande', '10', 'Dermatologist', '1000', '99% ', 'Dadar West', 'Hyderabad']
['Dr. Vishrut Newaskar', '11', 'Homoeopath', '800', '98% ', 'Bandra West', 'Hyderabad']
['Dr. Jyoti R Jangale', '37', 'Ayurveda', '1000', '98% ', 'Mulund West', 'Hyderabad']
['Dr. Mayuri Raje', '11', 'Dentist', '1000', '98% ', 'Mulund East', 'Hyderabad']
['Dr. Dipti Gandhi', '12', 'Dermatologist', '1000', '99% ', 'Ghatkopar East', 'Hyderabad']
['Dr. Adit B. Mehta', '13', 'Homoeopath', '1000', '99% ', 'Vileparle East', 'Hyderabad']
['Dr. Alok Shah', '41', 'Ayurveda', '1200', '97% ', 'Powai', 'Hyderabad']
['Dr. Uday B Shetty', '24', 'Dentist', '800', '97% ', 'Dadar West', 'Hyderabad']
['Dr. Swapnil Shah', '53', 'Dermatologist', '700', '99% ', 'Powai', 'Hyderabad']
['Dr. Priyanka Deshpande', '21', 'Homoeopath', '700', '98% ', 'Borivali West', 'Hyderabad']
['Dr. Parag M. Khatri', '24', 'Ayurveda', '450', '98% ', 'Andheri East', 'Hyderabad']
['Dr. Chitrang Thaker', '15', 'Dentist', '450', '96% ', 'Goregaon East', 'Hyderabad']
['Dr. Farhath Sayed', '19', 'Dermatologist', '450', '91% ', 'Lokhandwala', 'Hyderabad']
['Dr. Minal M Thamke Pawar', '24', 'Homoeopath', '450', '100% ', 'Mulund East', 'Hyderabad']
['Dr. Apeksha Chaudhari', '23', 'Ayurveda', '700', '96% ', 'Marol', 'Hyderabad']
['Dr. Suraj Shetty', '24', 'Dentist', '450', '84% ', 'Andheri West', 'Hyderabad']
['Dr. Pooja Chopra', '18', 'Dermatologist', '450', '98% ', 'Andheri West', 'Hyderabad']
['Dr. Gauri Patil', '33', 'Homoeopath', '1200', '93% ', 'Dadar', 'Hyderabad']
['Dr. Geoffrey Vaz', '14', 'Ayurveda', '800', '100% ', 'Versova', 'Hyderabad']
['Dr. Raashi Mehta', '21', 'Dentist', '800', '100% ', 'Peddar Road', 'Hyderabad']
['Dr. Gayatri Bharadwaj', '40', 'Dermatologist', '1000', '88% ', 'Mulund West', 'Hyderabad']
['Dr. Anuja Jadhav', '26', 'Homoeopath', '2000', '100% ', 'Dadar', 'Hyderabad']
['Dr. Manisha Kshirsagar', '34', 'Ayurveda', '700', '100% ', 'Vikhroli East', 'Hyderabad']
['Dr. Prathamesh Naik', '16', 'Dentist', '299', '100% ', 'Dadar', 'Hyderabad']
['Dr. Palak Shah', '34', 'Dermatologist', '400', '96% ', 'Kandivali West', 'Hyderabad']
['Dr. Kerfegar Wadia', '16', 'Homoeopath', '299', '100% ', 'Colaba', 'Hyderabad']
['Dr. Noorsabha A. Khan', '30', 'Ayurveda', '1500', '100% ', 'Lokhandwala', 'Hyderabad']
['Dr. Pooja S Parab', '13', 'Dentist', '600', '100% ', 'Goregaon East', 'Ahmedabad']
['Dr. Namita P. Patil', '12', 'Dermatologist', '500', '100% ', 'Borivali East', 'Ahmedabad']
['Dr. Kuldeep Rasal', '10', 'Homoeopath', '200', '100% ', 'Sion', 'Ahmedabad']
['Dr. Nikita', '9', 'Ayurveda', '500', '100% ', 'Prabhadevi', 'Ahmedabad']
['Dr. Jay N. Harde', '9', 'Dentist', '500', '50% ', 'Borivali', 'Ahmedabad']
['Dr. Mandar S Patwardhan', '13', 'Dermatologist', '500', '99% ', 'Dadar West', 'Ahmedabad']
['Dr. Swati Vilas Indulkar', '30', 'Homoeopath', '750', '100% ', 'Sion Koliwada', 'Ahmedabad']
['Dr. Manasi Shreyas Joshi', '10', 'Ayurveda', '200', '100% ', 'Mulund West', 'Ahmedabad']
['Dr. Rajeshree Mehta', '14', 'Dentist', '1500', '99% ', 'Malad West', 'Ahmedabad']
['Dr. Hiral Bhatt', '13', 'Dermatologist', '500', '100% ', 'Andheri East', 'Ahmedabad']
['Dr. Prachi M Mhaskar', '24', 'Homoeopath', '800', '100% ', 'Chembur', 'Ahmedabad']
['Dr. Mayuri Mane', '11', 'Ayurveda', '300', '100% ', 'Borivali West', 'Ahmedabad']
['Dr. Tushar Yadav', '25', 'Dentist', '700', '100% ', 'Ghatkopar East', 'Ahmedabad']
['Dr. Priyanka Shukla', '15', 'Dermatologist', '500', '96% ', 'Malad West', 'Ahmedabad']
['Dr. Mahajan Deepak Sevakram', '13', 'Homoeopath', '300', '100% ', 'Dadar', 'Ahmedabad']
['Dr. Pranav Gujarathi', '16', 'Ayurveda', '400', '100% ', 'Kemps Corner', 'Ahmedabad']
['Dr. Ajay Thaker', '12', 'Dentist', '300', '97% ', 'Mulund West', 'Ahmedabad']
['Dr. Shivani Gupta', '13', 'Dermatologist', '500', '98% ', 'Chinchpokli', 'Ahmedabad']
['Dr. Gauri Kadam', '13', 'Homoeopath', '1000', '96% ', 'Andheri West', 'Ahmedabad']
['Dr. Sandhya Biyani', '13', 'Ayurveda', '200', '99% ', 'Bandra West', 'Ahmedabad']
['Dr. Jayna Shah', '24', 'Dentist', '500', '99% ', 'Powai', 'Ahmedabad']
['Dr. Karanjit Singh Chaudhary', '17', 'Dermatologist', '500', '93% ', 'Chembur', 'Ahmedabad']
['Dr. Garima Manish Ranade', '18', 'Homoeopath', '500', '97% ', 'Vileparle East', 'Ahmedabad']
['Dr. Sujata Surana', '23', 'Ayurveda', '1500', '97% ', 'Kandivali East', 'Ahmedabad']
['Dr. Jyoti Narla', '10', 'Dentist', '1000', '100% ', 'Powai', 'Ahmedabad']
['Dr. Upasana Gosalia', '11', 'Dermatologist', '800', '98% ', 'Ghatkopar East', 'Ahmedabad']
['Dr. Meeth Atawane', '37', 'Homoeopath', '1000', '100% ', 'Andheri East', 'Ahmedabad']
['Dr. Sadhana Deshmukh', '11', 'Ayurveda', '1000', '100% ', 'Bandra West', 'Ahmedabad']
['Dr. Pradnya Manwatkar', '12', 'Dentist', '1000', '96% ', 'Mahim', 'Ahmedabad']
['Dr. Kinjal Rambhia Gulati', '13', 'Dermatologist', '1000', '97% ', 'Malad West', 'Ahmedabad']
['Dr. Zeenat Bhalwani', '41', 'Homoeopath', '1200', '100% ', 'Andheri West', 'Ahmedabad']
['Dr. Vibha Murarka', '24', 'Ayurveda', '800', '100% ', 'Girgaon', 'Ahmedabad']
['Dr. Sonia Tekchandani', '53', 'Dentist', '700', '97% ', 'Malad West', 'Ahmedabad']
['Dr. Bhushan S  Bawankar', '21', 'Dermatologist', '700', '100% ', 'Matunga West', 'Ahmedabad']
['Dr. Pallavi Sule', '24', 'Homoeopath', '450', '99% ', 'Powai', 'Ahmedabad']
['Dr. Priyal Gala', '15', 'Ayurveda', '450', '100% ', 'Matunga', 'Ahmedabad']
['Dr. Prabha Acharya', '19', 'Dentist', '450', '100% ', 'Andheri East', 'Chennai']
['Dr. Ishan B. Thakkar', '24', 'Dermatologist', '450', '94% ', 'Borivali West', 'Chennai']
['Dr. Reny Miglani', '23', 'Homoeopath', '700', '100% ', 'Chembur East', 'Chennai']
['Dr. Pooja Singit', '24', 'Ayurveda', '450', '98% ', 'Dadar', 'Chennai']
['Dr. Prajakta Vaidya', '18', 'Dentist', '450', '99% ', 'Malad West', 'Chennai']
['Dr. Dipesh Choubisa', '33', 'Dermatologist', '1200', '99% ', 'Chembur East', 'Chennai']
['Dr. Vrushali Saraswat', '14', 'Homoeopath', '800', '100% ', 'Goregaon', 'Chennai']
['Dr. Subhash K Dhawale', '21', 'Ayurveda', '800', '98% ', 'Parel', 'Chennai']
['Dr. Prakash L. Lulla', '40', 'Dentist', '1000', '99% ', 'Chembur East', 'Chennai']
['Dr. Shankar Chawla', '26', 'Dermatologist', '2000', '98% ', 'Chembur', 'Chennai']
['Dr. Sushant Lokhande', '34', 'Homoeopath', '700', '96% ', 'Kemps Corner', 'Chennai']
['Dr. Amruta Bhalchandra Wadekar', '16', 'Ayurveda', '299', '96% ', 'Dahisar East', 'Chennai']
['Dr. Riddhi Mehta', '34', 'Dentist', '400', '95% ', 'Malad West', 'Chennai']
['Dr. Suresh Isawe', '16', 'Dermatologist', '299', '97% ', 'Malad West', 'Chennai']
['Dr. Sejal Jain', '30', 'Homoeopath', '1500', '95% ', 'Kandivali East', 'Chennai']
['Dr. Abhishek Ramesh Chauhan', '13', 'Ayurveda', '600', '100% ', 'Ghatkopar West', 'Chennai']
['Dr. Rikin Gogri', '12', 'Dentist', '500', '99% ', 'Goregaon West', 'Chennai']
['Dr. Kunal Mehta', '10', 'Dermatologist', '200', '98% ', 'Mira Road', 'Chennai']
['Dr. Ritu Sharma', '9', 'Homoeopath', '500', '99% ', 'Borivali East', 'Chennai']
['Dr. Nitesh Motwani', '9', 'Ayurveda', '500', '100% ', 'Andheri West', 'Chennai']
['Dr. Prashant Patel', '13', 'Dentist', '500', '99% ', 'Borivali West', 'Chennai']
['Dr. Sharmila Nayak', '30', 'Dermatologist', '750', '100% ', 'Andheri West', 'Chennai']
['Dr. Yuti Nakhwa', '10', 'Homoeopath', '200', '80% ', 'Parel', 'Chennai']
['Dr. Sanjay S Chopra', '14', 'Ayurveda', '1500', '97% ', 'Parel', 'Chennai']
['Dr. Sana Bhamla', '13', 'Dentist', '500', '100% ', 'Mumbai Central', 'Chennai']
['Dr. Kaleem Khan', '24', 'Dermatologist', '800', '99% ', 'Santacruz West', 'Chennai']
['Dr. Uday Khopkar', '36', 'Homoeopath', '2000', '100% ', 'Parel', 'Chennai']
['Dr. Smriti Naswa Singh', '23', 'Ayurveda', '900', '86% ', 'Mulund West', 'Chennai']
['Dr. Zeenat Bhalwani', '14', 'Dentist', '800', '100% ', 'Andheri West', 'Chennai']
['Dr. Ashvith Shetty', '18', 'Dermatologist', '900', '98% ', 'Powai', 'Chennai']
['Dr. Amit Gulati', '18', 'Homoeopath', '1000', '99% ', 'Malad West', 'Chennai']
['Dr. Praful Barvalia', '41', 'Ayurveda', '1300', '94% ', 'Ghatkopar East', 'Chennai']
['Dr. Pratibha Singhal', '14', 'Dentist', '1000', '100% ', 'Kandivali East', 'Chennai']
['Dr. Sonal Jain', '12', 'Dermatologist', '1000', '99% ', 'Parel', 'Chennai']
['Dr. Manisha Mehboobani', '17', 'Homoeopath', '1000', '99% ', 'Khar West', 'Chennai']
['Dr. Harleen S Kaur', '20', 'Ayurveda', '1000', '99% ', 'Khar West', 'Chennai']
['Dr. Sonal H Sanghavi', '11', 'Dentist', '300', '99% ', 'Borivali West', 'Kolkata']
['Dr. Shamsher Bahadur Yadav', '25', 'Dermatologist', '700', '79% ', 'Malad West', 'Kolkata']
['Dr. Hemant T Nandu', '15', 'Homoeopath', '500', '100% ', 'Matunga East', 'Kolkata']
['Dr. Aparna Joshi', '13', 'Ayurveda', '300', '98% ', 'Kandivali West', 'Kolkata']
['Dr. Bhagunde Jaya Ashok', '16', 'Dentist', '400', '97% ', 'Vakola', 'Kolkata']
['Dr. Shalini Pal', '12', 'Dermatologist', '300', '97% ', 'Marol', 'Kolkata']
['Dr. Manjul Jain', '13', 'Homoeopath', '500', '98% ', 'Andheri West', 'Kolkata']
['Dr. Deval Naik', '13', 'Ayurveda', '1000', '99% ', 'Goregaon West', 'Kolkata']
['Dr. Anand Narla', '13', 'Dentist', '200', '83% ', 'Powai', 'Kolkata']
['Dr. Disha Sanghvi', '24', 'Dermatologist', '500', '100% ', 'Versova', 'Kolkata']
['Dr. Hitesh Singhavi', '17', 'Homoeopath', '500', '96% ', 'Mulund West', 'Kolkata']
['Dr. Bhavin Shah', '18', 'Ayurveda', '500', '100% ', 'Goregaon East', 'Kolkata']
['Dr. Shalin Ghatalia', '23', 'Dentist', '1500', '80% ', 'Sion West', 'Kolkata']
['Dr. Burzin Khan', '10', 'Dermatologist', '1000', '100% ', 'Fort', 'Kolkata']
['Dr. Sanket Mehta', '11', 'Homoeopath', '800', '100% ', 'Matunga', 'Kolkata']
['Dr. Ravindra Dargainya', '37', 'Ayurveda', '1000', '100% ', 'Malad West', 'Kolkata']
['Dr. Ami Dedhia', '11', 'Dentist', '1000', '92% ', 'Khar West', 'Kolkata']
['Dr. Pradnya Manwatkar', '12', 'Dermatologist', '1000', '98% ', 'Mahim', 'Kolkata']
['Dr. Sushrut Save', '13', 'Homoeopath', '1000', '99% ', 'Dadar', 'Kolkata']
['Dr. Mansi Sanghvi', '41', 'Ayurveda', '1200', '100% ', 'Powai', 'Kolkata']
['Dr. Rashmi Mittal', '24', 'Dentist', '800', '100% ', 'Andheri West', 'Kolkata']
['Dr. Sujit Shanshanwal', '53', 'Dermatologist', '700', '96% ', 'Santacruz West', 'Kolkata']
['Dr. Raghunandan Torsekar', '21', 'Homoeopath', '700', '98% ', 'Mulund West', 'Kolkata']
['Dr. Vaidehi Saigaonkar Newaskar', '24', 'Ayurveda', '450', '98% ', 'Bandra West', 'Kolkata']
['Dr. Deepam J. Shah', '15', 'Dentist', '450', '100% ', 'Opera House', 'Kolkata']
['Dr. Preety Shah', '19', 'Dermatologist', '450', '96% ', 'Malad West', 'Kolkata']
['Dr. Ashish Phoolchand Prajapati', '24', 'Homoeopath', '450', '99% ', 'Borivali West', 'Kolkata']
['Dr. Shruti Sheth', '23', 'Ayurveda', '700', '97% ', 'Ghatkopar East', 'Kolkata']
['Dr. Diksha Nihalani', '24', 'Dentist', '450', '96% ', 'Andheri West', 'Kolkata']
['Dr. Kavita Nayak', '18', 'Dermatologist', '450', '99% ', 'Borivali West', 'Kolkata']
['Dr. Alka Barvalia', '33', 'Homoeopath', '1200', '96% ', 'Ghatkopar East', 'Kolkata']
['Dr. Naqia Z. Khateeb', '14', 'Ayurveda', '800', '100% ', 'Andheri West', 'Kolkata']
['Dr. Tanvi Gosavi', '21', 'Dentist', '800', '96% ', 'Sakinaka', 'Kolkata']
['Dr. Sonali Khaire', '40', 'Dermatologist', '1000', '97% ', 'Andheri West', 'Kolkata']
['Dr. Jinita Malhotra', '26', 'Homoeopath', '2000', '89% ', 'Powai', 'Kolkata']
['Dr. Nishant Gandhi', '34', 'Ayurveda', '700', '99% ', 'Powai', 'Kolkata']
['Dr. Naman Hiralal Vora', '16', 'Dentist', '299', '79% ', 'Mulund West', 'Surat']
['Dr. Charmi Mehta', '34', 'Dermatologist', '400', '100% ', 'Kandivali West', 'Surat']
['Dr. Nikita Motwani', '16', 'Homoeopath', '299', '100% ', 'Andheri West', 'Surat']
['Dr. Namrata Patil', '30', 'Ayurveda', '1500', '97% ', 'Powai', 'Surat']
['Dr. Manish S. Sonawane', '13', 'Dentist', '600', '100% ', 'Lokhandwala', 'Surat']
['Dr. Kunal Chavan', '12', 'Dermatologist', '500', '98% ', 'Bhandup West', 'Surat']
['Dr. Jigna Sanghavi', '10', 'Homoeopath', '200', '99% ', 'Mira Road', 'Surat']
['Dr. Shailesh Rojekar', '9', 'Ayurveda', '500', '99% ', 'Prabhadevi', 'Surat']
['Dr. Manish Kachhara', '9', 'Dentist', '500', '100% ', 'Ghatkopar East', 'Surat']
['Dr. Pratik Thacker', '13', 'Dermatologist', '500', '99% ', 'Borivali West', 'Surat']
['Dr. Bindu Sthalekar', '30', 'Homoeopath', '750', '97% ', 'Khar West', 'Surat']
['Dr. Ganesh Avhad', '10', 'Ayurveda', '200', '99% ', 'Sion', 'Surat']
['Dr. Kinjal Rambhia Gulati', '14', 'Dentist', '1500', '99% ', 'Malad West', 'Surat']
['Dr. Shubhangi Mahajan', '13', 'Dermatologist', '500', '100% ', 'Parel', 'Surat']
['Dr. Maithili Kamat', '24', 'Homoeopath', '800', '89% ', 'Mahim', 'Surat']
